,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
6988,0.018285893,0.02000381216421826,0.00015102178795048783,IF,0.01,4,50000,2540,80,160,10000,True,test,neg
6989,0.018690825,0.02090756649408356,0.00016497610472925158,IF,0.01,4,50000,2540,80,160,10000,True,10k,neg
6990,0.06191268,0.4830188686875471,0.08805261629774802,RAR,0.07,4,10000,2540,80,160,10000,False,train,abs
6991,0.06406047,0.4809140895552381,0.08728690081107303,RAR,0.07,4,10000,2540,80,160,10000,False,test,abs
6992,0.06191268,0.4830188686875471,0.08805261629774802,RAR,0.07,4,10000,2540,80,160,10000,False,10k,abs
6993,0.057545575999999994,0.4657741127645251,0.0818775363155869,IF,0.07,4,50000,2540,80,160,10000,False,train,abs
6994,0.05817513,0.4885941864920265,0.09009706887671827,IF,0.07,4,50000,2540,80,160,10000,False,test,abs
6995,0.057545575999999994,0.4657741127645251,0.0818775363155869,IF,0.07,4,50000,2540,80,160,10000,False,10k,abs
6996,0.020097603999999998,0.12302853308973215,0.005712494085749642,random,0.3,9,10000,2540,80,160,10000,False,train,abs
6997,0.020097603999999998,0.12302853308973215,0.005712494085749642,random,0.3,9,10000,2540,80,160,10000,False,test,abs
6998,0.020097603999999998,0.12302853308973215,0.005712494085749642,random,0.3,9,10000,2540,80,160,10000,False,10k,abs
6999,0.008335905,0.030182928902624983,0.00034382451043763645,IF,0.08,3,50000,2540,80,160,10000,False,train,abs
7000,0.008335905,0.030182928902624983,0.00034382451043763645,IF,0.08,3,50000,2540,80,160,10000,False,test,abs
7001,0.008335905,0.030182928902624983,0.00034382451043763645,IF,0.08,3,50000,2540,80,160,10000,False,10k,abs
7002,0.013357555,0.03436224591744752,0.00044563280637690666,RAR,0.03,2,50000,2540,80,160,10000,True,train,abs
7003,0.013154902,0.035009387502577614,0.0004625760010455582,RAR,0.03,2,50000,2540,80,160,10000,True,test,abs
7004,0.013154902,0.035009387502577614,0.0004625760010455582,RAR,0.03,2,50000,2540,80,160,10000,True,10k,abs
7005,0.019981498,0.02872499764227817,0.00031141109045233794,IF,0.06,3,10000,2540,80,160,10000,True,train,neg
7006,0.019981498,0.02872499764227817,0.00031141109045233794,IF,0.06,3,10000,2540,80,160,10000,True,test,neg
7007,0.019981498,0.02872499764227817,0.00031141109045233794,IF,0.06,3,10000,2540,80,160,10000,True,10k,neg
7008,0.00730973,0.7637875990693158,0.22017057546086666,RAR,0.09,4,10000,2540,80,160,10000,False,train,abs
7009,0.00767151,0.764802606350588,0.22075613937086105,RAR,0.09,4,10000,2540,80,160,10000,False,test,abs
7010,0.00730973,0.7637875990693158,0.22017057546086666,RAR,0.09,4,10000,2540,80,160,10000,False,10k,abs
7011,0.012151357,0.0910875409913836,0.0031313529931073342,RAR,0.2,9,50000,2540,80,160,10000,False,train,abs
7012,0.012151357,0.0910875409913836,0.0031313529931073342,RAR,0.2,9,50000,2540,80,160,10000,False,test,abs
7013,0.012151357,0.0910875409913836,0.0031313529931073342,RAR,0.2,9,50000,2540,80,160,10000,False,10k,abs
7014,0.046024323,0.5040835885856063,0.09590012838815833,IF,0.07,4,10000,2540,80,160,10000,False,train,abs
7015,0.06516442,0.5151630654954314,0.10016212031796204,IF,0.07,4,10000,2540,80,160,10000,False,test,abs
7016,0.046024323,0.5040835885856063,0.09590012838815833,IF,0.07,4,10000,2540,80,160,10000,False,10k,abs
